transaction_date,owner,ticker,asset_type,amount,senator
01/31/2020,Joint,AZO,Stock,"$15,001 - $50,000",Kelly Loeffler
01/30/2020,Joint,AZO,Stock,"$15,001 - $50,000",Kelly Loeffler
01/29/2020,Joint,ROST,Stock,"$15,001 - $50,000",Kelly Loeffler
01/29/2020,Joint,KEYS,Stock,"$100,001 - $250,000",Kelly Loeffler
01/29/2020,Joint,CMCSA,Stock,"$15,001 - $50,000",Kelly Loeffler
01/28/2020,Joint,REZI,Stock,"$15,001 - $50,000",Kelly Loeffler
01/27/2020,Joint,REZI,Stock,"$100,001 - $250,000",Kelly Loeffler
01/21/2020,Spouse,DFS,Stock,"$250,001 - $500,000",Kelly Loeffler
01/17/2020,Spouse,--,Municipal Security,"$100,001 - $250,000",Kelly Loeffler
01/08/2020,Spouse,--,Municipal Security,"$250,001 - $500,000",Kelly Loeffler
01/08/2020,Spouse,--,Municipal Security,"$100,001 - $250,000",Kelly Loeffler
01/24/2020,Joint,REZI,Stock,"$50,001 - $100,000",Kelly Loeffler
02/14/2020,Joint,ORCL,Stock,"$100,001 - $250,000",Kelly Loeffler
02/14/2020,Joint,XOM,Stock,"$250,001 - $500,000",Kelly Loeffler
02/14/2020,Joint,CTXS,Stock,"$100,001 - $250,000",Kelly Loeffler
02/12/2020,Joint,FNKO,Stock,"$50,001 - $100,000",Kelly Loeffler
02/12/2020,Joint,EEFT,Stock,"$100,001 - $250,000",Kelly Loeffler
02/11/2020,Joint,ORLY,Stock,"$15,001 - $50,000",Kelly Loeffler
02/11/2020,Joint,FNKO,Stock,"$50,001 - $100,000",Kelly Loeffler
02/10/2020,Joint,FNKO,Stock,"$15,001 - $50,000",Kelly Loeffler
02/10/2020,Joint,AZO,Stock,"$15,001 - $50,000",Kelly Loeffler
02/10/2020,Joint,ARNA,Stock,"$50,001 - $100,000",Kelly Loeffler
02/07/2020,Joint,TCEHY,Stock,"$15,001 - $50,000",Kelly Loeffler
02/07/2020,Joint,ROKU,Stock,"$100,001 - $250,000",Kelly Loeffler
02/07/2020,Joint,FNKO,Stock,"$15,001 - $50,000",Kelly Loeffler
02/07/2020,Joint,ARNA,Stock,"$50,001 - $100,000",Kelly Loeffler
02/06/2020,Joint,TCEHY,Stock,"$15,001 - $50,000",Kelly Loeffler
02/06/2020,Joint,KL,Stock,"$50,001 - $100,000",Kelly Loeffler
02/06/2020,Joint,CMCSA,Stock,"$15,001 - $50,000",Kelly Loeffler
02/06/2020,Joint,AZO,Stock,"$15,001 - $50,000",Kelly Loeffler
02/05/2020,Joint,HON,Stock,"$100,001 - $250,000",Kelly Loeffler
02/05/2020,Spouse,MRK,Stock Option,"$1,001 - $15,000",Kelly Loeffler
02/05/2020,Spouse,DFS,Stock Option,"$1,001 - $15,000",Kelly Loeffler
02/05/2020,Spouse,DAL,Stock Option,"$1,001 - $15,000",Kelly Loeffler
02/05/2020,Spouse,EMR,Stock Option,"$1,001 - $15,000",Kelly Loeffler
02/14/2020,Spouse,CAT,Stock Option,"$1,001 - $15,000",Kelly Loeffler
02/14/2020,Spouse,AFL,Stock Option,"$1,001 - $15,000",Kelly Loeffler
02/05/2020,Self,--,Other Securities,"$250,001 - $500,000",Mark R Warner
03/04/2020,Spouse,WFC,Stock,"$1,001 - $15,000","A. Mitchell McConnell, Jr."
02/18/2020,Self,--,Corporate Bond,"$1,001 - $15,000",Gary C Peters
02/28/2020,Self,--,Stock,"$15,001 - $50,000",Patrick J Toomey
02/18/2020,Spouse,WMT,Stock,"$1,001 - $15,000",Pat Roberts
02/11/2020,Spouse,NVDA,Stock,"$15,001 - $50,000",Pat Roberts
02/11/2020,Spouse,MSFT,Stock,"$15,001 - $50,000",Pat Roberts
02/22/2020,Spouse,HQL,Stock,"$1,001 - $15,000",Thomas R Carper
02/22/2020,Spouse,HQL,Stock,"$1,001 - $15,000",Thomas R Carper
02/22/2020,Spouse,BSTZ,Stock,"$1,001 - $15,000",Thomas R Carper
02/22/2020,Spouse,BSTZ,Stock,"$1,001 - $15,000",Thomas R Carper
02/21/2020,Spouse,--,Corporate Bond,"$15,001 - $50,000",Thomas R Carper
02/21/2020,Spouse,--,Corporate Bond,"$15,001 - $50,000",Thomas R Carper
02/13/2020,Spouse,--,Corporate Bond,"$15,001 - $50,000",Thomas R Carper
02/13/2020,Spouse,--,Corporate Bond,"$15,001 - $50,000",Thomas R Carper
02/28/2020,Joint,GM,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/28/2020,Joint,PFE,Stock,"$15,001 - $50,000","David A Perdue , Jr"
02/28/2020,Joint,DD,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/28/2020,Joint,DD,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/28/2020,Joint,DVN,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/28/2020,Joint,PFE,Stock,"$15,001 - $50,000","David A Perdue , Jr"
02/28/2020,Joint,PFE,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/28/2020,Joint,CZR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/28/2020,Joint,CZR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/27/2020,Joint,DD,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/27/2020,Joint,PFE,Stock,"$15,001 - $50,000","David A Perdue , Jr"
02/27/2020,Joint,DD,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/27/2020,Joint,DAL,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/27/2020,Joint,PFE,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/27/2020,Joint,DD,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/27/2020,Joint,CZR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/27/2020,Joint,CZR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/27/2020,Joint,CZR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/26/2020,Joint,PFE,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/26/2020,Joint,PFE,Stock,"$15,001 - $50,000","David A Perdue , Jr"
02/26/2020,Joint,CZR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/26/2020,Joint,GPK,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/26/2020,Joint,CZR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/26/2020,Joint,DD,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/26/2020,Joint,PFE,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/26/2020,Joint,DD,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/26/2020,Joint,T,Stock,"$15,001 - $50,000","David A Perdue , Jr"
02/26/2020,Joint,VIAC,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/26/2020,Joint,T,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/26/2020,Joint,--,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/26/2020,Joint,DIS,Stock,"$15,001 - $50,000","David A Perdue , Jr"
02/25/2020,Joint,CZR,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/25/2020,Joint,FEYE,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/25/2020,Joint,GPK,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/25/2020,Joint,DAL,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/25/2020,Joint,T,Stock,"$15,001 - $50,000","David A Perdue , Jr"
02/25/2020,Joint,VIAC,Stock,"$1,001 - $15,000","David A Perdue , Jr"
02/25/2020,Joint,DVN,Stock,"$1,001 - $15,000","David A Perdue , Jr"
