senator,ticker,owner,type,transaction_date
Kelly Loeffler,IPHI,Joint,Sale (Partial),2/24/2020
Kelly Loeffler,FB,Joint,Sale (Partial),2/24/2020
Kelly Loeffler,ARNA,Joint,Sale (Partial),2/24/2020
Kelly Loeffler,ICE,Spouse,Sale (Partial),3/11/2020
Kelly Loeffler,ICE,Spouse,Sale (Partial),2/26/2020
Kelly Loeffler,ICE,Spouse,Purchase,2/26/2020
Kelly Loeffler,ICE,Self,Sale (Partial),3/11/2020
Kelly Loeffler,ICE,Self,Purchase,2/18/2020
Sheldon Whitehouse,WM,Self,Sale (Full),2/13/2020
Sheldon Whitehouse,DLR,Self,Purchase,2/13/2020
Pat Roberts,MSFT,Spouse,Purchase,3/26/2020
Pat Roberts,MSFT,Spouse,Purchase,3/24/2020
Pat Roberts,DIS,Spouse,Purchase,3/24/2020
Pat Roberts,XOM,Spouse,Purchase,3/26/2020
Pat Roberts,CVX,Spouse,Purchase,3/26/2020
Pat Roberts,BA,Spouse,Purchase,3/26/2020
Pat Roberts,WMT,Spouse,Purchase,3/24/2020
Pat Roberts,AAPL,Spouse,Purchase,3/24/2020
Pat Roberts,--,Spouse,Purchase,3/24/2020
Pat Roberts,V,Spouse,Purchase,3/20/2020
Pat Roberts,WMT,Spouse,Sale (Full),3/9/2020
Pat Roberts,NFLX,Spouse,Purchase,3/6/2020
Pat Roberts,NVDA,Spouse,Sale (Full),3/2/2020
Pat Roberts,NFLX,Spouse,Sale (Full),3/2/2020
Pat Roberts,AAPL,Spouse,Purchase,3/20/2020
Pat Roberts,NFLX,Spouse,Purchase,3/6/2020
Pat Roberts,NVDA,Spouse,Purchase,3/6/2020
Pat Roberts,AAPL,Spouse,Purchase,3/6/2020
Pat Roberts,AAPL,Spouse,Sale (Full),3/2/2020
Pat Roberts,NFLX,Spouse,Sale (Full),3/2/2020
William Cassidy,WMT,Spouse,Sale (Partial),3/9/2020
William Cassidy,TROW,Spouse,Sale (Partial),3/9/2020
William Cassidy,PG,Spouse,Sale (Partial),3/9/2020
William Cassidy,MSFT,Spouse,Sale (Partial),3/9/2020
William Cassidy,MDT,Spouse,Sale (Partial),3/9/2020
William Cassidy,EMR,Spouse,Sale (Partial),3/9/2020
William Cassidy,BLK,Spouse,Sale (Partial),3/9/2020
William Cassidy,AAPL,Spouse,Sale (Partial),3/9/2020
William Cassidy,AMGN,Spouse,Sale (Partial),3/9/2020
William Cassidy,T,Spouse,Sale (Partial),3/9/2020
William Cassidy,VFC,Spouse,Purchase,3/9/2020
William Cassidy,PSX,Spouse,Purchase,3/9/2020
William Cassidy,MMM,Spouse,Purchase,3/9/2020
William Cassidy,JNJ,Spouse,Purchase,3/9/2020
William Cassidy,DOW,Spouse,Purchase,3/9/2020
Ron Johnson,--,Self,Sale (Full),3/2/2020
"Jerry Moran,  ",VWO,Self,Sale (Partial),3/10/2020
"Jerry Moran,  ",HAL,Joint,Purchase,3/10/2020
"Jerry Moran,  ",XOM,Self,Purchase,3/10/2020
"Jerry Moran,  ",BRK-B,Self,Purchase,3/10/2020
James M Inhofe,BAM,Self,Sale (Partial),2/20/2020
Jacklyn S Rosen,IR,Joint,Exchange,2/29/2020
Kelly Loeffler,CMCSA,Spouse,Sale (Partial),1/14/2020
Kelly Loeffler,CSCO,Spouse,Sale (Partial),1/14/2020
Kelly Loeffler,GS,Spouse,Sale (Partial),1/14/2020
Kelly Loeffler,CVX,Spouse,Sale (Partial),1/14/2020
Kelly Loeffler,UL,Spouse,Sale (Partial),1/14/2020
Kelly Loeffler,PRU,Spouse,Sale (Partial),1/8/2020
Kelly Loeffler,--,Spouse,Purchase,1/29/2020
Kelly Loeffler,--,Self,Purchase,1/29/2020
Kelly Loeffler,TJX,Joint,Sale (Partial),1/31/2020
Kelly Loeffler,ROST,Joint,Sale (Partial),1/31/2020
Kelly Loeffler,AZO,Joint,Sale (Partial),1/31/2020
Kelly Loeffler,AZO,Joint,Sale (Partial),1/30/2020
Kelly Loeffler,ROST,Joint,Sale (Partial),1/29/2020
Kelly Loeffler,KEYS,Joint,Sale (Full),1/29/2020
Kelly Loeffler,CMCSA,Joint,Sale (Partial),1/29/2020
Kelly Loeffler,REZI,Joint,Sale (Partial),1/28/2020
Kelly Loeffler,REZI,Joint,Sale (Partial),1/27/2020
Kelly Loeffler,DFS,Spouse,Purchase,1/21/2020
Kelly Loeffler,--,Spouse,Purchase,1/17/2020
Kelly Loeffler,--,Spouse,Purchase,1/8/2020
Kelly Loeffler,--,Spouse,Purchase,1/8/2020
Kelly Loeffler,REZI,Joint,Sale (Partial),1/24/2020
Kelly Loeffler,ORCL,Joint,Purchase,2/14/2020
Kelly Loeffler,XOM,Joint,Sale (Full),2/14/2020
Kelly Loeffler,CTXS,Joint,Purchase,2/14/2020
Kelly Loeffler,FNKO,Joint,Sale (Full),2/12/2020
Kelly Loeffler,EEFT,Joint,Sale (Full),2/12/2020
Kelly Loeffler,ORLY,Joint,Sale (Full),2/11/2020
Kelly Loeffler,FNKO,Joint,Sale (Partial),2/11/2020
Kelly Loeffler,FNKO,Joint,Sale (Partial),2/10/2020
Kelly Loeffler,AZO,Joint,Sale (Partial),2/10/2020
Kelly Loeffler,ARNA,Joint,Sale (Partial),2/10/2020
Kelly Loeffler,TCEHY,Joint,Sale (Full),2/7/2020
Kelly Loeffler,ROKU,Joint,Sale (Full),2/7/2020
Kelly Loeffler,FNKO,Joint,Sale (Partial),2/7/2020
Kelly Loeffler,ARNA,Joint,Sale (Partial),2/7/2020
Kelly Loeffler,TCEHY,Joint,Sale (Partial),2/6/2020
Kelly Loeffler,KL,Joint,Sale (Full),2/6/2020
Kelly Loeffler,CMCSA,Joint,Sale (Full),2/6/2020
Kelly Loeffler,AZO,Joint,Sale (Partial),2/6/2020
Kelly Loeffler,HON,Joint,Sale (Full),2/5/2020
Kelly Loeffler,MRK,Spouse,Sale (Partial),2/5/2020
Kelly Loeffler,DFS,Spouse,Sale (Partial),2/5/2020
Kelly Loeffler,DAL,Spouse,Sale (Partial),2/5/2020
Kelly Loeffler,EMR,Spouse,Sale (Partial),2/5/2020
Kelly Loeffler,CAT,Spouse,Sale (Partial),2/14/2020
Kelly Loeffler,AFL,Spouse,Sale (Partial),2/14/2020
Mark R Warner,--,Self,Purchase,2/5/2020
"A. Mitchell McConnell, Jr.",WFC,Spouse,Purchase,3/4/2020
Gary C Peters,--,Self,Purchase,2/18/2020
Patrick J Toomey,--,Self,Purchase,2/28/2020
Pat Roberts,WMT,Spouse,Purchase,2/18/2020
Pat Roberts,NVDA,Spouse,Purchase,2/11/2020
Pat Roberts,MSFT,Spouse,Purchase,2/11/2020
Thomas R Carper,HQL,Spouse,Purchase,2/22/2020
Thomas R Carper,HQL,Spouse,Purchase,2/22/2020
Thomas R Carper,BSTZ,Spouse,Sale (Full),2/22/2020
Thomas R Carper,BSTZ,Spouse,Sale (Full),2/22/2020
Thomas R Carper,--,Spouse,Purchase,2/21/2020
Thomas R Carper,--,Spouse,Purchase,2/21/2020
Thomas R Carper,--,Spouse,Sale (Full),2/13/2020
Thomas R Carper,--,Spouse,Sale (Full),2/13/2020
"David A Perdue , Jr",GM,Joint,Purchase,2/28/2020
"David A Perdue , Jr",PFE,Joint,Purchase,2/28/2020
"David A Perdue , Jr",DD,Joint,Purchase,2/28/2020
"David A Perdue , Jr",DD,Joint,Purchase,2/28/2020
"David A Perdue , Jr",DVN,Joint,Purchase,2/28/2020
"David A Perdue , Jr",PFE,Joint,Purchase,2/28/2020
"David A Perdue , Jr",PFE,Joint,Purchase,2/28/2020
"David A Perdue , Jr",CZR,Joint,Sale (Partial),2/28/2020
