transaction_date,owner,ticker,asset_description,asset_type,type,amount,comment,senator,ptr_link
06/12/2014,Self,PFS,"Provident Financial Services, Inc. (NYSE)",,Exchange,"$250,001 - $500,000",Purchased Team Capitol Bank,Patrick J Toomey,https://efdsearch.senate.gov/search/view/ptr/223c257d-c473-401f-bcf1-d76494f15a9d/
06/11/2014,Self,LGP,Lehigh Gas Partners LP (NYSE),,Purchase,"$15,001 - $50,000",--,Patrick J Toomey,https://efdsearch.senate.gov/search/view/ptr/223c257d-c473-401f-bcf1-d76494f15a9d/
06/10/2014,Self,--,Team Capitol Bank,,Exchange,"$500,001 - $1,000,000",--,Patrick J Toomey,https://efdsearch.senate.gov/search/view/ptr/223c257d-c473-401f-bcf1-d76494f15a9d/
06/05/2014,Self,GLD,SPDR Gold Shares,,Sale (Partial),"$1,001 - $15,000",--,Patrick J Toomey,https://efdsearch.senate.gov/search/view/ptr/223c257d-c473-401f-bcf1-d76494f15a9d/
06/05/2014,Self,PPL,PPL Corporation (NYSE),,Sale (Partial),"$15,001 - $50,000",--,Patrick J Toomey,https://efdsearch.senate.gov/search/view/ptr/223c257d-c473-401f-bcf1-d76494f15a9d/
05/29/2014,Joint,RTN,Raytheon Co. (NYSE),,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/c0fbdbce-becf-4c40-a583-d5bf5c076987/
05/29/2014,Child,ORCL,Oracle Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/c0fbdbce-becf-4c40-a583-d5bf5c076987/
05/29/2014,Self,UL,Unilever plc (NYSE),,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/c0fbdbce-becf-4c40-a583-d5bf5c076987/
05/29/2014,Self,CHL,China Mobile Limited (NYSE),,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/c0fbdbce-becf-4c40-a583-d5bf5c076987/
05/29/2014,Self,SSYS,Stratasys Ltd. (NASDAQ),,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/c0fbdbce-becf-4c40-a583-d5bf5c076987/
05/22/2014,Self,ACT,Actavis plc (NYSE),,Purchase,"$1,001 - $15,000",--,John F Reed,https://efdsearch.senate.gov/search/view/ptr/6b7a7936-a835-48a3-bc6c-6b04bff617cb/
05/22/2014,Joint,ACT,Actavis plc (NYSE),,Purchase,"$1,001 - $15,000",--,John F Reed,https://efdsearch.senate.gov/search/view/ptr/6b7a7936-a835-48a3-bc6c-6b04bff617cb/
05/16/2014,Spouse,--,JPM Contingent Autocall Tesoro Corp 10.75% due 5/21/2015,,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/f7b4d48b-4352-4ed6-888e-ecca7572a482/
05/16/2014,Spouse,--,JPM Contingent Autocall Tesoro Corp 10.75% due 5/21/2015,,Purchase,"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/f7b4d48b-4352-4ed6-888e-ecca7572a482/
05/20/2014,Spouse,--,MS Contingent Autocall Valero Energy 12% due 2/21/17,,Sale (Full),"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/f7b4d48b-4352-4ed6-888e-ecca7572a482/
05/30/2014,Spouse,OKE,ONEOK Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/f7b4d48b-4352-4ed6-888e-ecca7572a482/
05/30/2014,Spouse,--,Dominion Resources,,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/f7b4d48b-4352-4ed6-888e-ecca7572a482/
05/30/2014,Spouse,--,Barclays Contingent Autocall Bristol Myers 8% due 6/2/17,,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/f7b4d48b-4352-4ed6-888e-ecca7572a482/
05/06/2014,Spouse,--,W.L. Gore &amp; Associates Inc.,,Sale (Partial),"$250,001 - $500,000",--,Christopher A Coons,https://efdsearch.senate.gov/search/view/ptr/4d53f9d0-7982-4dd7-947f-c77e7b81f481/
05/07/2014,Spouse,YHOO,Yahoo! Inc. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,WFC,Wells Fargo &amp; Company (NYSE),,Purchase,"$15,001 - $50,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,WM,"Waste Management, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,VVC,Vectren Corporation (NYSE),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,VR,"Validus Holdings, Ltd. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,VRX,"Valeant Pharmaceuticals International, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,VFC,V.F. Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,UTX,United Technologies Corp. (NYSE),,Purchase,"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,UNP,Union Pacific Corporation (NYSE),,Purchase,"$15,001 - $50,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,UL,Unilever plc (NYSE),,Purchase,"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,UMPQ,Umpqua Holdings Corporation (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,TUP,Tupperware Brands Corporation (NYSE),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,TEL,TE Connectivity Ltd. (NYSE),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,TGT,Target Corp. (NYSE),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,TAL,"TAL International Group, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,HOT,Starwood Hotels &amp; Resorts Worldwide Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,SBUX,Starbucks Corporation (NASDAQ),,Purchase,"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,SE,Spectra Energy Corp. (NYSE),,Purchase,"$15,001 - $50,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,RPM,RPM International Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,RHHBY,Roche Holding AG (OTC Markets),,Purchase,"$15,001 - $50,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,QCOM,QUALCOMM Incorporated (NASDAQ),,Purchase,"$15,001 - $50,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,PEP,"Pepsico, Inc. (NYSE)",,Purchase,"$15,001 - $50,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,PWE,Penn West Petroleum Ltd. (NYSE),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,PACW,PacWest Bancorp (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,ORCL,Oracle Corporation (NYSE),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,OHI,Omega Healthcare Investors Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,NEE,"NextEra Energy, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,NWL,Newell Rubbermaid Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,MGRC,McGrath Rentcorp (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,MXIM,"Maxim Integrated Products, Inc. (NASDAQ)",,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,M,"Macy's, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,MTSC,MTS Systems Corporation (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,LDR,Landauer Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,JCOM,"j2 Global, Inc. (NASDAQ)",,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,IP,International Paper Company (NYSE),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,IEX,IDEX Corporation (NYSE),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,HMC,"Honda Motor Co., Ltd. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,HTS,Hatteras Financial Corp (NYSE),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,HAS,Hasbro Inc. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,HNI,HNI Corp. (NYSE),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,GM,General Motors Company (NYSE),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,FLY,FLY Leasing Limited (NYSE),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,FMER,FirstMerit Corporation (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,FFBC,First Financial Bancorp. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,FB,"Facebook, Inc. (NASDAQ)",,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,ESRX,Express Scripts Holding Company (NASDAQ),,Purchase,"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,DIS,The Walt Disney Company (NYSE),,Purchase,"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,DLR,Digital Realty Trust Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,CYS,"CYS Investments, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,CY,Cypress Semiconductor Corporation (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,CNSL,Consolidated Communications Holdings Inc. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,CPSI,Computer Programs &amp; Systems Inc. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,CTBI,Community Trust Bancorp Inc. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,CLNY,"Colony Financial, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,CHCO,City Holding Co. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,CELG,Celgene Corporation (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,CBT,Cabot Corporation (NYSE),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,BAC,Bank of America Corporation (NYSE),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,BGS,B&amp;G Foods Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,ALV,"Autoliv, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,ARCC,Ares Capital Corporation (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,AMT,American Tower Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,AMZN,Amazon.com Inc. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
05/07/2014,Spouse,ADC,Agree Realty Corp. (NYSE),,Sale (Full),"$1,001 - $15,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/a6280b04-b9a1-4df8-ab60-cdbe26b49d78/
04/29/2014,Joint,CMRE,Costamare Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/
04/29/2014,Joint,PEP,"Pepsico, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/
04/29/2014,Spouse,GOOGL,Google Inc. (NASDAQ),,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/
04/29/2014,Child,CVS,CVS Caremark Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/
04/29/2014,Child,GIS,"General Mills, Inc. (NYSE)",,Sale (Partial),"$15,001 - $50,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/
04/17/2014,Child,CVS,CVS Caremark Corporation (NYSE),,Sale (Partial),"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/
04/17/2014,Child,STT,State Street Corporation (NYSE),,Sale (Partial),"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/
04/17/2014,Child,ESRX,Express Scripts Holding Company (NASDAQ),,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/
04/17/2014,Child,DIS,The Walt Disney Company (NYSE),,Sale (Partial),"$15,001 - $50,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/
04/29/2014,Child,EBAY,eBay Inc. (NASDAQ),,Sale (Full),"$15,001 - $50,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/
04/29/2014,Child,JPM,JPMorgan Chase &amp; Co. (NYSE),,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/
04/29/2014,Child,KORS,Michael Kors Holdings Limited (NYSE),,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/
04/29/2014,Child,ESRX,Express Scripts Holding Company (NASDAQ),,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/
04/29/2014,Child,UTX,United Technologies Corp. (NYSE),,Purchase,"$15,001 - $50,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/
05/09/2014,Child,VDC,Vanguard Consumer Staples ETF,,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/
05/09/2014,Child,ETN,Eaton Corporation plc (NYSE),,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/
05/09/2014,Self,HMC,"Honda Motor Co., Ltd. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/
05/09/2014,Self,XLNX,Xilinx Inc. (NASDAQ),,Sale (Full),"$15,001 - $50,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9b068596-e9ca-4b20-b738-19872aa03a6a/
04/28/2014,Spouse,SRE,Sempra Energy (NYSE),,Sale (Partial),"$1,001 - $15,000",--,"Angus S King, Jr.",https://efdsearch.senate.gov/search/view/ptr/f1c4bb82-2e7a-481f-afbd-9ac932f02844/
04/28/2014,Spouse,XRAY,DENTSPLY International Inc. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,"Angus S King, Jr.",https://efdsearch.senate.gov/search/view/ptr/f1c4bb82-2e7a-481f-afbd-9ac932f02844/
04/28/2014,Spouse,UNH,UnitedHealth Group Incorporated (NYSE),,Purchase,"$1,001 - $15,000",--,"Angus S King, Jr.",https://efdsearch.senate.gov/search/view/ptr/f1c4bb82-2e7a-481f-afbd-9ac932f02844/
04/08/2014,Self,AMT,American Tower Corporation (NYSE),,Sale (Full),"$15,001 - $50,000",--,Cory A Booker,https://efdsearch.senate.gov/search/view/ptr/29d797a6-e3ff-4d76-9ee9-2e3840adb15b/
04/08/2014,Self,NFLX,"Netflix, Inc. (NASDAQ)",,Sale (Full),"$15,001 - $50,000",--,Cory A Booker,https://efdsearch.senate.gov/search/view/ptr/29d797a6-e3ff-4d76-9ee9-2e3840adb15b/
06/10/2013,Self,--,Heinz HJ Company,,Sale (Full),"$100,001 - $250,000",Berkshire acquired Heinz and paid cash to Heinz shareholders on acquisition.,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/e16f013b-4e88-4777-8001-ac02faf65957/
05/01/2013,Self,--,"Copano Energy, LLC",,Exchange,"$15,001 - $50,000",KMP acquired Copano and received .4563 KMP units for each Copano unit.,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/e16f013b-4e88-4777-8001-ac02faf65957/
05/01/2013,Self,KMP,"Kinder Morgan Energy Partners, L.P. (NYSE)",,Exchange,"$15,001 - $50,000","KMP acquired Copano Energy, LLC. Received .4563 KMP units for each Copano unit.",John Hoeven,https://efdsearch.senate.gov/search/view/ptr/e16f013b-4e88-4777-8001-ac02faf65957/
04/29/2013,Self,CG,The Carlyle Group LP (NASDAQ),,Purchase,"$100,001 - $250,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/e16f013b-4e88-4777-8001-ac02faf65957/
04/28/2014,Self,BA,The Boeing Company (NYSE),,Purchase,"$100,001 - $250,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/da7d4e7e-8858-4dc1-ba7e-800c7ce82e7f/
04/28/2014,Self,ABBV,AbbVie Inc. (NYSE),,Purchase,"$50,001 - $100,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/da7d4e7e-8858-4dc1-ba7e-800c7ce82e7f/
04/28/2014,Self,BUD,Anheuser-Busch InBev SA/NV (NYSE),,Purchase,"$50,001 - $100,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/da7d4e7e-8858-4dc1-ba7e-800c7ce82e7f/
04/28/2014,Self,F,Ford Motor Co. (NYSE),,Purchase,"$50,001 - $100,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/da7d4e7e-8858-4dc1-ba7e-800c7ce82e7f/
04/28/2014,Spouse,--,UBS Contingent Autocall Potash 8.05% 1/27/2017,,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/6cfed5f8-e48c-4421-8ce1-18fd087da47e/
04/25/2014,Spouse,--,JPM Contingent Autocall Walgreens 10% 4/28/2017,,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/6cfed5f8-e48c-4421-8ce1-18fd087da47e/
04/02/2014,Spouse,--,Marvell Tech Group,,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/6cfed5f8-e48c-4421-8ce1-18fd087da47e/
04/02/2014,Spouse,ATML,Atmel Corporation (NASDAQ),,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/6cfed5f8-e48c-4421-8ce1-18fd087da47e/
04/28/2014,Spouse,--,UBS Contingent Autocall Potash 8.05% 1/27/2017,,Sale (Full),"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/6cfed5f8-e48c-4421-8ce1-18fd087da47e/
04/25/2014,Spouse,--,JPM Contingent Autocall Walgreens 10% 4/28/2017,,Purchase,"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/6cfed5f8-e48c-4421-8ce1-18fd087da47e/
04/08/2014,Spouse,--,HSBC Contingent Autocall Broadcom 8.6% 1/8/15,,Sale (Full),"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/6cfed5f8-e48c-4421-8ce1-18fd087da47e/
